"","fm_1","fm_2","fm_3","m_4","m_5","m_6"
"WBGene00016602",3,4,2,1,1,1
"WBGene00016607",0,1,1,1,2,0
"WBGene00000382",9,1,4,2,0,0
"WBGene00016601",7,2,4,1,1,4
"WBGene00021631",0,0,0,0,0,0
"WBGene00021630",0,0,0,0,0,0
"WBGene00021632",0,0,0,2,0,0
"WBGene00021629",1,0,2,0,0,0
"WBGene00021628",5,6,6,7,3,3
"WBGene00303090",0,0,0,0,0,0
"WBGene00000140",2,6,0,3,4,4
"WBGene00000045",0,0,0,0,0,0
"WBGene00022833",0,0,0,1,0,0
"WBGene00022834",0,0,0,3,1,0
"WBGene00022832",8,11,6,2,4,3
"WBGene00022835",2,2,0,0,0,0
"WBGene00003061",0,2,2,6,8,6
"WBGene00022831",8,4,2,3,3,1
"WBGene00022836",2,1,3,2,0,2
"WBGene00022830",12,10,7,0,1,1
"WBGene00000962",35,21,29,14,17,14
"WBGene00020655",0,0,0,0,0,0
"WBGene00015704",0,0,1,1,0,0
